version,base version,scenario,solution,timestamp,duration,base duration,relative duration
8.0.100-alpha.1.23062.1,7.0.100,noop,LargeAppCPM-nostaticgraph-142722b,2023-01-12T19:15:35.4899770Z,20.674743,20.6980926,99.88718960509433
8.0.100-alpha.1.23062.1,6.0.400,warmup,OrchardCore-5dbd92c,2023-01-12T19:10:28.5619703Z,26.7573275,21.9511326,121.8949745672804
8.0.100-alpha.1.23062.1,6.0.400,arctic,OrchardCore-5dbd92c,2023-01-12T19:10:28.5619703Z,24.367991,21.2030208,114.92697776347039
8.0.100-alpha.1.23062.1,6.0.400,cold,OrchardCore-5dbd92c,2023-01-12T19:10:28.5619703Z,19.8304021,17.9478004,110.48931711988507
8.0.100-alpha.1.23062.1,6.0.400,force,OrchardCore-5dbd92c,2023-01-12T19:10:28.5619703Z,12.6932523,11.6183551,109.25171584745243
8.0.100-alpha.1.23062.1,6.0.400,noop,OrchardCore-5dbd92c,2023-01-12T19:10:28.5619703Z,9.1209799,8.2669371,110.33082494361788
8.0.100-alpha.1.23062.1,7.0.100,warmup,Orleans-eda972a,2023-01-12T19:10:07.0900731Z,24.7913376,22.8218271,108.62994225383471
8.0.100-alpha.1.23062.1,7.0.100,arctic,Orleans-eda972a,2023-01-12T19:10:07.0900731Z,20.9283271,20.9327147,99.9790395079526
8.0.100-alpha.1.23062.1,7.0.100,cold,Orleans-eda972a,2023-01-12T19:10:07.0900731Z,15.0614263,14.8919786,101.13784544385527
8.0.100-alpha.1.23062.1,7.0.100,force,Orleans-eda972a,2023-01-12T19:10:07.0900731Z,5.6055145,5.40806,103.6511151873315
8.0.100-alpha.1.23062.1,7.0.100,noop,Orleans-eda972a,2023-01-12T19:10:07.0900731Z,4.1276828,3.8395826,107.50342498166336
8.0.100-alpha.1.23062.1,7.0.100,warmup,LargeAppCPM-142722b,2023-01-12T19:14:51.0830112Z,646.0270124,111.4774621,579.5135628585502
8.0.100-alpha.1.23062.1,7.0.100,arctic,LargeAppCPM-142722b,2023-01-12T19:14:51.0830112Z,288.2933393,86.9116051,331.7086814451204
8.0.100-alpha.1.23062.1,7.0.100,cold,LargeAppCPM-142722b,2023-01-12T19:14:51.0830112Z,273.937904,63.8462963,429.0584103936504
8.0.100-alpha.1.23062.1,7.0.100,force,LargeAppCPM-142722b,2023-01-12T19:14:51.0830112Z,595.3819237,75.2803848,790.8858665929669
8.0.100-alpha.1.23062.1,7.0.100,noop,LargeAppCPM-142722b,2023-01-12T19:14:51.0830112Z,10.0570291,9.4084383,106.8937136995414
8.0.100-alpha.1.23062.2,7.0.100,warmup,NuGetClient-win-d76a117,2023-01-12T20:18:07.6099016Z,101.8155422,106.5714481,95.5373545308896
8.0.100-alpha.1.23062.2,7.0.100,arctic,NuGetClient-win-d76a117,2023-01-12T20:18:07.6099016Z,104.4261972,95.1175178,109.78650370121412
8.0.100-alpha.1.23062.2,7.0.100,cold,NuGetClient-win-d76a117,2023-01-12T20:18:07.6099016Z,97.354493,88.5720579,109.91558207884881
8.0.100-alpha.1.23062.2,7.0.100,force,NuGetClient-win-d76a117,2023-01-12T20:18:07.6099016Z,14.5979841,15.3336712,95.2021463718356
8.0.100-alpha.1.23062.2,7.0.100,noop,NuGetClient-win-d76a117,2023-01-12T20:18:07.6099016Z,10.0893868,10.223129,98.69176843997566
8.0.100-alpha.1.23062.2,7.0.100,warmup,LargeAppCPM-nostaticgraph-142722b,2023-01-12T20:20:43.1296417Z,836.6671303,160.8736926,520.0770348327294
8.0.100-alpha.1.23062.2,7.0.100,arctic,LargeAppCPM-nostaticgraph-142722b,2023-01-12T20:20:43.1296417Z,395.252152,103.7721365,380.88466261846696
8.0.100-alpha.1.23062.2,7.0.100,cold,LargeAppCPM-nostaticgraph-142722b,2023-01-12T20:20:43.1296417Z,367.6634043,84.9204874,432.9501814658685
8.0.100-alpha.1.23062.2,7.0.100,force,LargeAppCPM-nostaticgraph-142722b,2023-01-12T20:20:43.1296417Z,700.4277529,117.8844746,594.1645456508655
8.0.100-alpha.1.23062.2,7.0.100,noop,LargeAppCPM-nostaticgraph-142722b,2023-01-12T20:20:43.1296417Z,25.8741224,25.7344141,100.54288510108339
8.0.100-alpha.1.23062.2,6.0.400,warmup,OrchardCore-5dbd92c,2023-01-12T20:13:59.8380410Z,26.3282352,23.2523013,113.22851385897017
8.0.100-alpha.1.23062.2,6.0.400,arctic,OrchardCore-5dbd92c,2023-01-12T20:13:59.8380410Z,21.9092811,20.9070804,104.79359470966591
8.0.100-alpha.1.23062.2,6.0.400,cold,OrchardCore-5dbd92c,2023-01-12T20:13:59.8380410Z,18.817416,19.932447,94.40595025788856
8.0.100-alpha.1.23062.2,6.0.400,force,OrchardCore-5dbd92c,2023-01-12T20:13:59.8380410Z,12.2016265,11.3502657,107.50080062002425
8.0.100-alpha.1.23062.2,6.0.400,noop,OrchardCore-5dbd92c,2023-01-12T20:13:59.8380410Z,9.2670468,7.997503,115.87425225098383
8.0.100-alpha.1.23062.2,7.0.100,warmup,Orleans-eda972a,2023-01-12T20:13:37.1467240Z,19.1700683,19.5090008,98.26268652364811
8.0.100-alpha.1.23062.2,7.0.100,arctic,Orleans-eda972a,2023-01-12T20:13:37.1467240Z,17.6417838,17.129008,102.99361060488734
